Crater,Lat,Lon,Mean Diameter,Max Diameter,Min Diameter,Mean Depth,Max Depth,Min Depth
crater_1,25,348,136.16531679518985,178.80168578103027,93.50059509277344,11.459173053328914,12.642493084907613,10.377175080357688
crater_2,-10,175,143.50129462897883,167.43592282804647,126.96345520019531,0.7755721280134745,1.2905180689933218,0.18715801815261557
crater_3,-2,275,128.03632313041877,164.83776891800196,80.18186950683594,9.589088856252479,9.821046660149108,9.152876804077636
crater_4,0,128,105.24882999567973,134.02711682469467,62.90121841430664,7.453789813136709,7.829211943242726,6.227794181946692
crater_5,40,112,104.38117795050542,136.68606028717642,81.47356414794922,6.312867437555436,6.8868276956557395,5.415298897313988
crater_6,8,8,82.06299818685034,95.33947971988147,49.42524719238281,1.7017643702606136,2.184537527571109,1.3510105700987936
crater_7,-8,17,84.99854633783309,109.14182511650446,66.54972839355469,4.649850857968939,6.584212760070045,1.6887814880464305
crater_8,15,172,67.37303281489517,80.82768111884786,60.065582275390625,1.0928099574225436,1.402218137767079,0.7795646331988735
crater_9,20,134,63.8666493481823,104.06333490269247,52.61664962768555,3.5958847509257623,4.321588065469541,2.4075953165866224
crater_10,-40,244,55.507266341874306,75.50325119807827,39.167205810546875,0.6815860628741903,1.0410003224105537,0.09473862000854183
crater_11,-6,151,48.774142432040605,55.691307813067915,41.482540130615234,0.5753216108543668,0.7886090339073633,0.03024477006894699
crater_12,17,215,43.087424832362466,49.331404170046085,33.668128967285156,3.3249813095419825,3.5331192687838495,3.154962010750097
crater_13,34,269,36.273021247845755,44.069787739515874,27.88833999633789,1.1505237161192983,1.3238758695823094,1.0072317987997792
crater_14,4,145,40.83648310800978,61.02228254258825,24.291316986083984,1.1876333293260712,1.5847828340584158,0.611455851729346
crater_15,-10,102,28.56031908724818,39.76219717572968,23.70374870300293,1.3953003482150323,1.7014008665603342,1.1870828416540746
crater_16,-18,205,25.581224729580576,34.07228139241599,16.20087432861328,3.332923862407995,3.7804794044001824,3.0898055762751824
crater_17,-26,216,29.764657079032727,35.30925876691106,23.696216583251953,2.0576902318942265,2.736547169038161,1.8945824473584736
crater_18,-36,221,26.504354363115045,36.14346410300942,13.236233711242676,1.1119848258251797,1.3162133915729015,0.49621714439585674
crater_19,-33,212,25.633018359681763,30.15997320104156,21.22297477722168,1.3935806481726245,1.4203918664343433,1.3476989953405933
crater_20,-15,254,37.88286071446508,45.8156875616582,28.497304916381836,1.7603581914962774,2.0071450350044415,0.5598273125691549
crater_21,-18,7,19.49260144935719,27.164810675788615,11.875566482543945,0.8793442393248512,0.9893434074164134,0.6232020204306536
